Tupi,Tradução,Citação
...Emonã takó aîkó...,Hei de viver assim.,"Anch., Diál. da Fé, 211"
Na nde ruã-te...?,Mas não foste tu?,"Anch., Teatro, 176"
Xe ru'um.,Eu estou enlameado.,"VLB, I, 117"
Emonãnamo... kó 'ara rari oîepegûasu i moetesabamo.,"Portanto, tomou este dia como tempo de honrá-los em conjunto.","Ar., Cat., 135, 1686"
takûarusu-tyba,ajuntamento de taquaruçu,"Léry, Histoire, 349"
Nde resé memẽ oroîkó ....,Contigo sempre estamos.,"Anch., Poemas, 84"
Moroaûsubara 'yba...,Princípio da compaixão...,"Valente, Cantigas, VII, in Ar., Cat., 1618"
...Nde apysy-katu ko'yté pytunusu nde 'anga moingotebẽsagûera suí nde sem'iré.,"Consola-te muito, enfim, após tua saída da escuridão, da aflição de tua alma.","Ar., Cat., 126-126v"
Opá Îandé Îara moîari sesé osyka...,"Todos cercaram Nosso Senhor, achegando-se a ele.","Ar., Cat., 54v"
Atuîuk.,Apodreci.,"VLB, I, 38"
Marã-takó ahẽ rera?,"Qual era, mesmo, o nome dele?","VLB, I, 77"
Erenhemoatyrõpe eîegûaka nde poropotaramo?,"Enfeitaste-te, pintando-te, tendo desejos carnais?","Ar., Cat., 234"
Asó ikó.,Eis que vou.,"Anch., Arte, 21v"
paranãendy,reflexo ou resplendor do mar,"VLB, I, 40"
"Eîori xe 'anga reîa, i motinga...","Vem para lavar minha alma, branqueando-a.","Anch., Poemas, 170"
Akanhem kó ixé re'a.,Eis que agora eu hei de perecer!,"Ar., Cat., 156"
Aî'atypetek.,Esbofeteei suas têmporas.,"VLB, I, 56"
"To, ahẽ! Abápe ké sobasẽ...?",Oh! Quem aqui dá a cara?,"Anch., Teatro, 138"
Mba'epe onong i akanga 'arybo?,Que puseram sobre sua cabeça?,"Ar., Cat., 60v"
Teumẽ teké serasóbo nhandu ruã.,Guarda-te de o levares.,"VLB, I, 151"
aani xûé ko'yténe,nunca mais,"VLB, II, 52"
Xe resé oîerobîá...,Em mim confiam.,"Anch., Teatro, 40"
"Anga îá, angaîpabora aîuká, xe ratápe sero'ane...","Como a esses, matarei os que costumam pecar, fazendo-os cair comigo em meu fogo.","Anch., Teatro, 92"
"Îamongûá moxy ru'uba, i xupé îaîemoîtỹamo.","Fazemos passar as flechas dos malditos, diante deles esquivando-nos.","Anch., Teatro, 26"
Îandé pytybõagûama resé oîerurébo.,Pedindo para nos ajudarem (etim. - pela nossa futura ajuda).,"Ar., Cat., 125"
...Santa Maria o membyrá-kakara omo'a-mo'ang...,Santa Maria está supondo a aproximação de seu parto.,"Ar., Cat., 9"
...Ybakype îandé sorama monhanga...,Fazendo-nos ir para o céu.,"Ar., Cat., 53, 1686"
kopîasoara,o que vai à roça,"VLB, II, 14"
Ta sepy nde mondagûera.,Que tenha reparação teu roubo.,"Anch., Teatro, 46"
Ase'yĩ.,Cocei-o.,"VLB, I, 76"
Xe tekokuabar.,Eu retomei o bom senso.,"VLB, II, 133"
...Pabẽ t'îaîxo'o.,Todos havemos de convidar.,"Anch., Teatro, 64"
Oîoîá kó Tupã sy îandé rerekomemûã...,Igualmente essa mãe de Deus nos maltrata.,"Anch., Teatro, 142"
Aîukasûer.,Quase o matei.,"VLB, I, 19"
Oré rekopoxy 'oka...,Arrancando nossos vícios.,"Anch., Poemas, 144"
îandûara,o que é igual a algo ou a alguém,"VLB, II, 9"
aó-moundara,"o que escurece roupas, o tintureiro","VLB, II, 128"
A'e aé koba'e katu me'engara re'a...,"É ele o que dá o bem desses, com certeza.","Ar., Cat., 66"
"Iîabaíb-eté nhẽ rakó îasy putuneme, asé atá mysakanga...","São muito molestos, certamente, quando a lua está escura, os tropeços de nossa caminhada.","Anch., Doutr. Cristã, II, 79"
Esepîá-katu nde renonderama ybaka pîarype nde ropare'ymamo...,Vê bem a tua frente para que não te percas no caminho do céu.,"Ar., Cat., 82"
Asobaîar.,Oponho-me a ele.,"VLB, II, 57"
xe remipoîangaîbara,o magro que convido para comer,"Anch., Arte, 52v"
Karaíba amõ amõ i angaîpá...,Vários homens brancos são pecadores.,"Anch., Poesias, 55"
Tekokatueté rerekoara oporomonhyrõba'e...,Os que têm a beatitude são os que apaziguam as pessoas.,"Anch., Doutr. Cristã, I, 154"
Xe sy îu!,"Ó minha mãe! (Fig., Arte, 9) [Usava-se também por quem respondia.","VLB, II, 60"
...asé mopyatãgûama resé.,...para nosso encorajamento.,"Ar., Cat., 82v"
"...I ur, sasok abá-angaîpaba, kunhã-angaîpaba reté-a'ubane.",Terão bernes e terão vermes os corpos miseráveis dos homens pecadores e das mulheres pecadoras.,"Ar., Cat., 164"
itagûasutyba,"jazimento de pedras grandes, penedia","VLB, II, 69, 72"
Ererupe nde petyma?,Trouxeste teu fumo?,"Anch., Teatro, 146"
"Akûeîme apytá memẽ nde pyri, ybytyrapûápe.","Antigamente eu ficava sempre junto de ti, no alto do morro.","Anch., Poemas, 154"
"Ema'enãngatu xe ri, xe mbo'are'ymuká.","Vela bem por mim, fazendo que não me derrubem.","Anch., Poemas, 142"
"Aîpó gûi'îabo, n'akyî ixé.","Isso dizendo, eu não estou tíbio.","Anch., Teatro, 144"
"...Oîoîá te'õ rekóû kunumĩgûasu suí tuîba'e suí bé, napûeî, ndaroîaî amõ abá mopanemi...","Igualmente a morte está entre os moços e entre os velhos, não longe, mas nem por isso deixa de chegar às outras pessoas.","Ar., Cat., 157v"
N'akakuabi.,"Não tenho vida direita (isto é, sou uma prostituta).","VLB, II, 27"
...i xupé tekokatu me'engara...,o que dá a eles a virtude,"Ar., Cat., 24"
...Tekokatu resé nhõngatu o apysykamo.,Confortando-se tão somente na virtude.,"Ar., Cat., 189, 1686"
Mba'e supépe asé graça i 'éû?,A que coisa chamamos graça?,"Ar., Cat., 31"
Oîmboasy-katu o angaîpaba... seroîeby-potare'yma.,"Arrepende-se muito de sua maldade, não querendo repeti-la.","Ar., Cat., 80"
Apytá.,Parei.,"VLB, II, 65"
irũmbûera,"os que foram seus companheiros, seus ex-companheiros","Anch., Teatro, 46"
Iesu toryberekoara,"Jesus, guardião da alegria.","Valente, Cantigas, I, in Ar., Cat., 1618"
tãî-mbora,"marca de dentes, sinal de dentada","VLB, I, 94"
Ixé tiruã asó.,Até eu vou.,"VLB, I, 46"
Tupã ra'yreté anhẽ ikó abá...,"Filho verdadeiro de Deus é, de fato, esse homem.","Ar., Cat., 64"
Kori temone asómo.,Hoje eu deveria ir.,"Anch., Arte, 25"
Marã e'ipe asé o ké îanondé...?,Como diz a gente antes de dormir?,"Ar., Cat., 24v"
T'onhemonhang nde remimotara...,Faça-se tua vontade.,"Ar., Cat., 13v"
"Kó bé ingapé-kûatiara, t'aîakã-mombuk muru.","Eis aqui também a ingapema pintada, para que arrebente a cabeça dos malditos.","Anch., Teatro, 66"
Tó! Mamõpe ahẽ rekóû?...,Eh! Onde ele está?,"Anch., Teatro, 10"
I ku'a-bok serã moxy...?,Acaso estava o maldito com a cintura fendida?,"Ar., Cat., 57v"
Aîpokirik.,Fiz-lhe cócegas.,"VLB, I, 76"
...T'oîkó umẽ oka rupi oré 'anga monguébo.,Que ele não esteja pelas ocas a agitar nossas almas.,"Anch., Teatro, 120"
Ten e'i.,"Mostra-se com firmeza, está fixo.","Anch., Arte, 57"
"Nde ma'enduar nde rekosykagûama, nde rekó pabagûama resé rá...","Lembra-te já de teus destinos últimos, do fim de tuas coisas.","Ar., Cat., 154"
Moroún-mbyry nakó.,"Eis que estava de cor um tanto preta, certamente.","VLB, II, 128"
Anhanga t'îaîpe'a ko'yr aûîeramanhẽ...,Que afastemos o diabo agora e para sempre.,"Valente, Cantigas, VI, in Ar., Cat., 1618"
Xe moîoîá xe îemoŷrõ...,Repleta-me minha ira.,"Ar., Cat., 41"
…Opabĩ abá raûsubi i katurama resé.,A todos os homens ama para o bem deles.,"Anch., Teatro, 158, 2006"
I aûîé umûã ygara.,A canoa já está pronta.,"VLB, II, 118"
Xe pukasûer.,Eu sou risonho.,"VLB, II, 106"
Ndaeroîaî... o ekoangaîpagûera repyme'engagûama resé o putupabamo.,Nem por isso se importa com o resgate de seus antigos pecados.,"Ar., Cat., 155"
Nde resé serosypyra...,Os que estão achegados a ti.,"Anch., Poemas, 96"
Aanumẽne! Asabeypó...,Não! Estou bêbado.,"Anch., Teatro, 46"
Xe mba'easy-potar îá.,"Eu sou enfermiço, doentio (isto é, tenho propensão para adoecer amiúde).","VLB, I, 105"
Oîké îugûasu i akanga kutuka...,"Entram grandes espinhos, espetando sua cabeça.","Anch., Poemas, 122"
"Te'õ rerobyka é, xe angaîpá-tubixagûera amosẽne...","Aproximando-me da morte, meus pecados antigos e grandes farei sair.","Anch., Teatro, 38"
I angaîpá kó kena'ĩ...,São más essas folgadas.,"Anch., Teatro, 36"
Kagûápe nhõ nde ratãngatu-potá?,Somente quando bebes cauim tu queres ser valente?,"Anch., Teatro, 64"
A'epe marã asé rekóû o îeaûsuba îabé-katu o apixara raûsupa?,E como a gente procede para amar seu próximo como ama a si mesmo?,"Ar., Cat., 75"
Se'yî nde rekasara...,São numerosos os que te procuram.,"Valente, Cantigas, IV, in Ar., Cat., 1618"
Ereîosubype abá îeke'a i poroka?,"Visitaste o covo de alguém, esvaziando-o?","Anch., Doutr. Cristã, II, 99"
Xe ruba rupi é emonã aîkó.,Assim ajo conforme meu pai.,"VLB, II, 115"
Turusu xe kane'õ.,Grande é meu cansaço.,"Anch., Poemas, 152"
Xe ro'o-tytyk.,Eu tenho a carne palpitante.,"VLB, I, 130"
...Sugûy mosyryka i xuí.,Fazendo escorrer o sangue dele.,"Ar., Cat., 62"
"A'e, rakó, i angaîpá...","Elas, certamente, são más.","Anch., Teatro, 14"
Oîoparabamo orokûab.,Estamos em intercalação.,"VLB, I, 119"
upá-sama,corda de rede,"VLB, I, 82"
serobîarypyra,aquele em quem se deve acreditar,"Anch., Teatro, 6"
Tó! Aîpó n'i papasabi!,Ó! Não há modo de contar isso.,"Anch., Teatro, 38"
...O emiminõ koîpó o emiarirõ amõ îeapyká resé nd'e'ikatuî abá omendá.,"Com um neto ou uma neta, com algum descendente não pode ninguém se casar.","Ar., Cat., 128v"
Xe poropûaîxûer.,Eu sou mandão.,"VLB, II, 30"
Aporero'ar.,Salteio.,"VLB, II, 112"
"Anheté, kó nde rapé... Nd'aîpotari nde ropara.","Verdadeiramente, eis aqui teu caminho. Não quero que tu te percas.","Anch., Teatro, 162"
Erenhomimype erimba'e Tupãokygûara mba'e amõ?,Escondeste alguma coisa que estava na igreja?,"Anch., Doutr. Cristã, II, 99"
Îepémo asó...,Ainda que eu fosse...,"Anch., Arte, 23v"
"Ereîkuakupe nde angaîpaba amõ abaré suí, senotĩamo nhẽ?","Escondeste algum pecado teu do padre, envergonhando-te dele?","Ar., Cat., 221"
...Aroane'ym nakó nhe'engaryba rekóû.,"De forma inadequada, certamente, está o regente do canto.","VLB, I, 154"
...O ké-poxy omboryba'e...,O que se compraz em seu sonho mau.,"Anch., Diál. da Fé, 211"
Tyk e'i.,"Estão em grande número, são muitos.","Anch., Arte, 57"
...Îatyby-poî ma'e amõ nonga...,"Fazemos oferendas às sepulturas, pondo algumas coisas (nelas).","Ar., Cat., 8v"
Peîmoín amõ cruz oîepé kó mara'abora robaké sesá ma'ẽndabamo.,Ponde uma cruz diante deste doente como objeto da visão de seus olhos.,"Ar., Cat., 142"
N'i îáî pirá sembiara.,"Não são segundo a quantidade deles os peixes que ele apanha (isto é, o que ele pesca é muito aquém dos peixes que há).","VLB, II, 16"
I abaeté-katupe Anhanga...?,É muito medonho o diabo?,"Anch., Doutr. Cristã, I, 220"
opá kó mbó...,"ambas estas mãos, o número dez...","Ar., Cat., 3"
nhandu'i-kesaba,teia de aranha,"VLB, II, 125"
Mba'enakó ahẽ amõ îukáû akûeîme.,Da mesma forma que fulano matou alguém há tempos.,"VLB, I, 78"
tĩmuku,"lit., tromba comprida, gorgulho, inseto coleóptero","VLB, I, 149"
Eporeaûsubok xe 'anga,Compadece-te de minha alma.,"Valente, Cantigas, in Ar., Cat., 1618"
Ereroŷrõ-mbápe o îoesé i îerobîara...?,Detestas completamente a confiança dele em si mesmo?,"Ar., Cat., 1686, 184"
Memeté a'e morero'arupîara.,Tanto mais porque eles são adversários de agressores.,"Léry, Histoire, 9"
...Apŷaba kunhã ri i mondaba'e...,Os homens que roubam mulheres.,"Anch., Teatro, 156, 2006"
"Oîepé-ĩombé, nipó, i angaîpab amõme é.","Um ou outro, porventura, foi mau, às vezes.","Anch., Teatro, 36"
...Nde pyri gûitekóbo nhẽ.,Estando eu junto de ti.,"Anch., Poemas, 100"
Mba'epe aûîeramanhẽ serekopyrama ikó 'ara pupé?,Que é o que será mantido para sempre neste mundo?,"Ar., Cat., 165"
Abá-poreaûsubĩ.,Homem coitadinho.,"VLB, I, 76"
Asó apŷaba porepŷana.,Vou para resgatar os índios.,"VLB, I, 81"
Xe apebĩ.,Eu sou rechonchudinho.,"VLB, I, 37"
Nha'uma i monhangymbyra nhẽpe asé oîmoeté?,"A gente adora, com efeito, o que é feito de barro?","Ar., Cat., 22"
"Mba'easybora o mara'ara kakareme t'osenõîukar abaré, îandykaraíba nongara...","Ao se aproximar o doente de sua agonia, que mande chamar o padre, o que põe o óleo bento.","Ar., Cat., 137v"
Anhemonhang.,Nasci.,"VLB, II, 46"
Na xe poranguî gûitekóbo.,Eu não estou sendo fantasioso.,"VLB, I, 131"
Sugûy turusu.,Seu sangue era muito.,"Anch., Poemas, 120"
...O eminguá-katue'yma oîmombe'uba'e...,O que conta o que não sabe bem...,"Ar., Cat., 67"
Ogûenduparûera supé o nhe'enga rekobîarõmo.,Sustituindo suas palavras para os que o ouviram.,"Ar., Cat., 110"
...Tekó-angaîpaba suí o îepe'aagûera repyramo.,Como recompensa de seu afastamento da vida má.,"Ar., Cat., 169v"
Anhemoatãngatu.,Esforço-me muito.,"VLB, I, 124"
Marãnamope asé o îurupe sa'angino?,"Por que a gente em sua boca a assinala também (isto é, a cruz)?","Ar., Cat., 21v"
Peteumẽ xe rapirõmo...,Deixai de me prantear.,"Ar., Cat., 61v"
Eresugûykápe kunhataĩ amõ? Semimotara rupipe koîpó i popyatã-mbápe?,Desvirginaste alguma menina? Segundo tua vontade ou ela resistiu completamente?,"Ar., Cat., 103v"
tobá posanga,enfeites do rosto,"VLB, I, 22"
Xe ikó asaûsu pe 'anga... tekopûera rekoaboka.,"Eis que eu amo vossas almas, modificando os costumes antigos.","Anch., Teatro, 186"
Pytunusupe émo i xóûmo.,Para uma grande escuridão é que iriam.,"Ar., Cat., 80"
Osó ipóne re'a gûi'îabo mona'ẽ.,Talvez ele fosse se eu dissesse.,"VLB, II, 15"
Xe poîabab.,Eu sou destro.,"VLB, I, 101"
tá-tyba,ajuntamento de aldeias,"VLB, II, 84"
"Xe raûsubasápe, xe 'anga moteni.","Por se compadecer de mim, minh'alma faz firme.","Anch., Poemas, 108"
mokaku'i-uru,recipientes de pólvora,"Léry, Histoire, 343-344"
xe ruba mba'epûera,"herança de meu pai (VLB, I, 121), patrimônio de meu pai defunto","VLB, II, 68"
N'osaûsubaripe Tupã amõ abá îeapykaba'erama resé...?,Não se compadeceu Deus de alguém por causa dos que descenderiam (dele)?,"Ar., Cat., 41v"
tupãoka arõana,"apropriada para igreja (p.ex., roupa)","VLB, II, 74"
"Nd'e'i te'e oá nhote i xuí, nd'i pekábo ruã...","Por isso tão somente nasceu dela, não lhe fazendo rombo.","Anch., Doutr. Cristã, I, 194"
Irõ moroapirõ a'e oporomomby'ar...,"Portanto, prantear as pessoas (que chegam, como saudação) isso as enternece.","Ar., Cat., 85v"
"Akó xe îubykarûera, tataûrana...!","Esse é meu antigo enforcador, uma taturana...","Anch., Teatro, 62"
Asé aé oîemoabangá i mborypa...,"A gente mesma acovarda-se, consentindo-o.","Anch., Diál. da Fé, 231"
Xe ro'o-sysyî.,Eu tenho a carne trêmula.,"VLB, I, 130"
Arakaîá-te ombory...,Mas os aracajás deleitam-se com eles.,"Anch., Teatro, 36"
Aîmopa'ũ-pa'ũ nhote Tupãokype xe reîké.,"Faço intervalos em minhas entradas na igreja (isto é, entro uma vez sim, outra não).","VLB, II, 13"
"Pene'ĩ, rõ, t'îasó ké îagûapyka îakupa.","Eia, pois, vamos estar sentados aqui.","Anch., Teatro, 144"
"Té, xe resemõ toryba...","Ah, sobra-me alegria.","Anch., Teatro, 10"
...Sabeypora suí 'ara mokanhema...,Perdendo o entendimento por causa de sua bebedeira.,"Ar., Cat., 78"
Eîori xe poraûsubara...,"Vem, compadecedor de mim.","Valente, Cantigas, VIII, Ar., Cat., 1618"
Iîá îaby ahẽ mã!,"Ah, bem feito para ele!","VLB, I, 28"
Ko'yré emonã aîkó.,Doravante assim procedo.,"VLB, I, 27"
Xe pytaî turi.,Veio atrás de mim.,"Anch., Arte, 41v"
Lisboa akûeakoty,para além de Lisboa,"VLB, I, 48"
Ererekó-memûãpe nde sabeypora?,Portaste-te mal com tua embriaguez?,"Anch., Doutr. Cristã, II, 103"
"Saûsupara, aîuruîuba, mokaba ogûeru tenhẽ...","Seus amigos, os franceses, trouxeram armas de fogo em vão.","Anch., Teatro, 52"
mba'e-akuba,"coisa quente, quentura","VLB, II, 94"
inimbebytá,armação de leito,"VLB, II, 20"
...O kaîa moasŷabo...,Tendo dor de suas queimaduras.,"Ar., Cat., 161"
Asé sybápe abaregûasu nhandy-karaíba nonga.,Pôr o bispo em nossa testa o óleo santo.,"Ar., Cat., 17v"
"Kaburé, îori enhana...!","Caburé, vem correndo!","Anch., Teatro, 64"
kûarasy reîkeaba,"lugar em que o sol se põe, poente, oeste","VLB, II, 54"
...O Tupãnamo i moeté-a'upa.,Honrando-o falsamente como seu Deus.,"Ar., Cat., 66"
Na xe îuruéî.,Não me dá vontade de comer.,"Léry, Histoire, 367"
Umã-pakó? Umã-takó? ou Umã-pakó akûea?,"Que é, porventura, daquele?","VLB, II, 93"
Ere'upe abá mondarõagûera?,Comeste objeto de furto de alguém?,"Ar., Cat., 107"
"Abá ra'yra, ipó...","Filhos de índios, certamente...","Anch., Teatro, 48"
Oîme'eng i pópe-katu...,Entregou-o bem em suas mãos.,"Ar., Cat., 61"
Xe apatynã.,Eu fiz confusão.,"VLB, II, 71"
Okanhem ygara xe suí.,"Sumiu a canoa de mim (isto é, de minha vista).","VLB, II, 72"
îukyruru,vasilha de sal,"VLB, II, 112"
N'oîmomarã-mirĩ-angáîpe ybakygûara Tupã remimotara?,Não desobedecem nem sequer um pouco os habitantes do céu à vontade de Deus?,"Ar., Cat., 27"
T'oú îandé pytybõmo xe rybyra...,Que venha para nos ajudar meu irmão mais moço.,"Anch., Teatro, 130"
Aó-tinga pupé i nhubani...,Em roupas brancas envolveram-no...,"Ar., Cat., 64v"
xe rendybaá-tinga,minha barba branca,"VLB, I, 65"
Endé aé ereîekûá...,Tu mesmo és causa de teu dano.,"Anch., Teatro, 42"
...Nd'oîkóî mba'e amõ semiasapy-papare'yma re'a...,Não há coisa alguma de que ele não conte os detalhes.,"Anch., Doutr. Cristã, II, 78"
Taî.,Ela requeima.,"VLB, II, 93"
A'epe... 'aretéreme eresó.,Ali ias por ocasião dos feriados.,"Anch., Poemas, 154"
"Kó taba renyreme, pe pyri nhẽ xe rekóû.","Por esta aldeia luzir, eu estou junto de vós.","Anch., Teatro, 186"
Xe îurubó-bok.,Eu estou fendido em diversas partes.,"VLB, I, 137"
Asekobîarõ seîmbaba i xupé.,Troquei-lhe uma criação.,"VLB, II, 103"
I angaîpabetépe abá... oporomopetymbûabo...?,Peca muito o homem que fica fazendo as pessoas fumarem?,"Ar., Cat., 66"
"Anhẽ temõ turi mã. - Oxalá ele viesse, de fato. Anheté temõ!",Oxalá fosse verdade!,"VLB, II, 59"
...O aysó abé osepîak.,Sua própria formosura também viram.,"Ar., Cat., 37v"
Gûyrá taté u'uba sóû.,Para outra coisa que não o pássaro a flecha foi.,"Anch., Arte, 40v"
ne'ĩ n'endé aé,faze como te parece,"VLB, II, 17"
Aîemĩngatu kó gûitupa...,Escondo-me bem estando deitado aqui.,"Anch., Teatro, 32"
Kó-tene i îaeté.,Este é o máximo.,"VLB, II, 86"
Eîpe'a Îurupari kó 'ara suí...,Afasta o diabo deste dia em diante.,"Valente, Cantigas, III, in Ar., Cat., 1618"
"Enonhẽ, eîakaká, t'oîepysyrõ-motá anhanga ratá suí.","Corrige-os, censura-os, para que queiram livrar-se do inferno.","Anch., Poemas, 158"
Ereîkópe kûare'ymano resé?,Tiveste relações com uma virgem também?,"Anch., Doutr. Cristã, II, 89"
N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo...,Não o teríamos trazido a ti se ele não tivesse pecado...,"Ar., Cat., 58"
Xe atuaî turi.,Veio detrás de mim.,"Anch., Arte, 41v"
...São Lourenço pytybõana.,...ajudante de São Lourenço.,"Anch., Teatro, 40"
Asó-potá nde retãme...,Quero ir para tua terra.,"Anch., Poemas, 92"
Aîmongetá.,Leio-o.,"VLB, II, 20"
Xe soaba Tupã retama...,Meu destino é a terra de Deus.,"Anch., Teatro, 162, 2006"
Asó itá piaramo.,Vou como catador de pedras.,"VLB, II, 14"
...Tapi'irusu sarûápe kapi'ĩ anhẽ rerupa.,Colocando o boi capim às pressas para impedi-lo.,"Anch., Poemas, 130"
Aîpó abá ma'e îara îandébe.,Esses homens são os que portam riquezas para nós.,"Léry, Histoire, 355"
...Nde é ã xe kuauká îepé...,Eis que tu mesma me denunciaste.,"Ar., Cat., 161"
Aîpó tekó-pysasu abá serã ogûeru...?,"Aquela lei nova, quem será que a trouxe?","Anch., Teatro, 4"
A'epe sugûy moîa'o-mirĩ-mirĩneme i îabi'õpe i kûáî?,"E se dividirem seu sangue em pequenas partes, em cada uma delas está?","Anch., Doutr. Cristã, I, 216"
...Nde koty xe rerobaka.,Em tua direção fazendo-me voltar.,"Anch., Poemas, 92"
amynyîu-aoba,pano de algodão,"VLB, II, 64"
Xe nhe'endok.,Eu me calei.,"VLB, I, 63"
Etupãmongetá oré i angaîpaba'e resé.,"Roga a Deus por nós, os que somos pecadores.","Anch., Doutr. Cristã, I, 139"
T'ame'ẽne pirá ruba endébo...,Hei de dar ova de peixe para ti.,"Anch., Teatro, 44"
Xe îeruresûer.,Eu tenho inclinação a pedir.,"Anch., Arte, 51v"
Aîmomba'e.,Fi-lo enriquecer.,"VLB, I, 117"
Xe raby'ak.,Eu tenho inhaca.,"VLB, I, 73"
Aîapûapyk.,"Apanhei-as (p.ex., frutas num pano).","VLB, I, 37"
"I porang, erimba'e, Mia'y, xe retãmbûera.","Era bela, outrora, Miaí, minha antiga região.","Anch., Poemas, 152"
Peîuká!,Matai-o!,"Anch., Arte, 18"
Nd'e'i te'e... opá abá tiningamo...,Por isso mesmo todos os homens estarão secos.,"Ar., Cat., 160"
Îasytatá serekoarama resé...,Por causa da estrela sua guardiã.,"Ar., Cat., 3"
"Ereîpe'ape nde ra'yra, nde remiaûsuba i agûasá suí?",Afastaste teu filho e teu escravo de suas amantes?,"Ar., Cat., 100v"
...Quatro tekokatu-ytá,Quatro são as virtudes cardeais.,"Ar., Cat., 19v"
Erimba'epe i xóû i xupa?,Quando foi para visitá-la?,"Ar., Cat., 32v"
-Oîerokype asé Cruz supé? -Oîeroky. -A gente se inclina junto à cruz?,Inclina-se.,"Ar., Cat., 22"
...Our kó xe yby supa rimba'e.,Veio para visitar esta minha terra outrora.,"Ar., Cat., 9v"
Opukubo taba amoín.,Assento a vila de comprido.,"Anch., Arte, 43"
Osó nipó?,"Vai, por acaso?","VLB, II, 82"
Tenhẽngatupabẽ osykyî i xupé.,Muitíssimas lorotas invocaram contra ele.,"Anch., Dial. da Fé, 180"
...abaré nhe'ẽnhe'enga renduba...,ouvir o sermão do padre,"Ar., Cat., 12"
"...Moxy oînupã, i monhana...","Castiga o maldito, fazendo-o correr.","Anch., Poemas, 188"
Sepyrama xe pûaîtaba.,Sua remissão foi minha determinação.,"Anch., Teatro, 170"
"Ta sobasy umẽ i xupé, serekokatûabo...","Que não fique de cara feia para ele, tratando-o bem.","Anch., Doutr. Cristã, I, 228"
Asekoabok xe nhe'enga.,Mudei minhas palavras.,"VLB, II, 44"
N'aker-angáî sekasápe...,Não dormi absolutamente para procurá-los.,"Anch., Teatro, 48"
"...Xe apuãnamo kori, nde rerapûana resé.","Apresso-me hoje, por causa da tua fama.","Anch., Poemas, 156"
Eresapîápe tekopoxy... resé nde moingóreme?,Obedeces a eles quando te fazem viver no vício?,"Ar., Cat., 100v"
Na ixé ruã asó.,Não sou eu que vou.,"Anch., Arte, 47v"
A'epe ebokûé nde îuraragûaîa pupé eremoerapûã abá amõ?,E com essa tua mentira tornaste alguém famoso?,"Ar., Cat., 99v"
Eîori oré pokoka.,Vem para nos guiar.,"Anch., Poemas, 144"
"Eîori, mba'enem, mba'e-poxy!","Vem, coisa fedorenta, coisa nojenta!","Anch., Teatro, 44"
...Moka'ẽ itá îurá 'arybo sesyri...,"Sobre grelhas de moquear, de ferro, assaram-no.","Ar., Cat., 7"
Abebé kó ybytu îá...,Vôo como este vento.,"Anch., Teatro, 40"
Erenhemoaûîépe nde kerype nde resé abá rekó mo'angeme?,Tu te entregaste ao imaginar em teu sono que um homem fazia sexo contigo?,"Ar., Cat., 235, 1686"
pepó-ypy,"encontros das asas, isto é, a parte superior delas, onde vão fazendo a volta e onde nascem as penas maiores","VLB, I, 115"
T'e'i tenhẽ umẽ xe ri o îuru'aramo.,Não fique ele boquejando a meu respeito.,"VLB, II, 28-29"
Ano'ẽ.,Retirei-a.,"VLB, II, 129"
...Semimonhangûera îamonhangyne.,Faremos o que ele fez.,"Ar., Cat., 122, 1686"
Marãpe serekóû i tym-y îanondé?,Que fizeram com ele antes de o enterrarem?,"Ar., Cat., 64v"
...O îoasykûera ri îasûaramo i îogûerekóû.,Eles se tratam uns aos outros como semelhantes por causa de sua irmandade.,"Ar., Cat., 82v"
Eremosangu'upe nde membyra akyrara potá?,Tomaste poção querendo o aborto de teu filho?,"Anch., Doutr. Cristã, II, 88"
Oîopyk muru akanga...,Aperta a cabeça do maldito.,"Anch., Poemas, 180"
...Tatá ypype oîepegûabo.,Aquecendo-se perto do fogo.,"Ar., Cat., 57"
Ereîmopanemype missa renduba?...,Deixaste de ouvir a missa?,"Ar., Cat., 110v"
Erasó ké raré.,"Leva-o, olha lá!","VLB, II, 56"
Xe rekó-aé arekó.,"Tenho meu modo de ser diferente. (VLB, I, 103), Oré rekó-rekó-aé oroerekó. - Temos nossos modos de ser diferentes.","VLB, I, 103"
...Opabẽ taba mondyki...,Todas as aldeias abrasou.,"Valente, Cantigas, V, in Ar., Cat., 1618"
xe mba'e'ĩ,minhas coisinhas,"Anch., Arte, 54"
...Iké nhẽ peîkó xe rarõmo...,Estai aqui esperando-me.,"Ar., Cat., 52v"
Pedro ranhẽ osó.,Pedro foi primeiro.,"Anch., Arte, 45v"
...kûepe i moerapûanymbyra,o que é afamado por aí,"Anch., Teatro, 12"
Rorẽ-ka'ẽ xe popûá...,Lourenço tostado atou minhas mãos.,"Anch., Teatro, 50"
...Xe pysy-potar-y bé serã kó gûyragûasu...,Talvez queira agarrar-me novamente este pássaro grande...,"Anch., Teatro, 58"
putunybo,"toda a noite, pelas noites","Anch., Arte, 42v"
...Îandé ri oîese'a.,Uniu-se a nós.,"Anch., Poemas, 160"
Oú abé.,Tão logo vindo ele,"Anch., Arte, 45v"
Apu-puk.,"Estou com muitos furos, estou esburacado.","VLB, I, 124"
'y-apé 'arybo,"à flor d'água, na superfície da água","VLB, I, 144"
i irũ → irũ,companheiro dele,"Anch., Arte, 6"
